rank	root_iast	dcs_lemma	gloss_ru	status	flags	gloss_lemma	min_band	nkrya_tokens	synonym_proposal	synonym_ipm	synonym_band
181	kṛṣ	kṛṣ	натянув	flag	inflected,unknown	натянуть		натянуть:V:-:-			
182	sphur	sphur	столкнул	flag	inflected,unknown	столкнуть		столкнуть:V:-:-			
183	nṛt	nṛt	плясали	flag	inflected,unknown	плясать		плясать:V:-:-			
184	khan	khan	вонзил	flag	inflected,unknown	вонзить		вонзить:V:-:-			
185	iḍ / īḍ	īḍ	достойный призывов	flag	phrase,unknown			достойный:A:-:- призыв:S:-:-			
186	mil	mil	возвращаются	flag	inflected,unknown	возвращаться		возвращаться:V:-:-			
187	śikṣ	śikṣ	старается	flag	inflected,unknown	стараться		стараться:V:-:-			
188	majj	majj	погруженный	flag	unknown			погрузить:V:-:-			
189	dam	dam	смиренный	flag	unknown			смирить:V:-:-			
190	bhraṃś	bhraṃś	лишается	flag	inflected,unknown	лишаться		лишаться:V:-:-			
191	stṛ	stṛ	швырнуть	flag	unknown			швырнуть:V:-:-			
192	nud	nud	оттолкни	flag	inflected,unknown	оттолкнуть		оттолкнуть:V:-:-			
193	lubh	lubh	жадный	flag	unknown			жадный:A:-:-			
194	sac	sac	следуют	flag	inflected,unknown	следовать		следовать:V:-:-			
195	1 vap / 2 vap	vap	сея	flag	inflected,unknown	сеять		сеять:V:-:-			
196	vaś	vaś	хочет	flag	inflected,unknown	хотеть		хотеть:V:-:-			
197	mṛj	mṛj	начищают	flag	inflected,unknown	начищать		начищать:V:-:-			
198	1 vā / 2 vā / 3 vā	vā	или	ok							
199	plu	plu	соскочив	flag	inflected,unknown	соскочить		соскочить:V:-:-			
200	daṃś	daṃś	десятью	ok							
201	stambh	stambh	укрепил	flag	inflected,unknown	укрепить		укрепить:V:-:-			
202	dāś	dāś	почитателя	flag	inflected,unknown	почитатель		почитатель:S:-:-			
203	vṛj	vṛj	обойди	flag	inflected,unknown	обойти		обойти:V:-:-			
204	1 śṛ / 2 śṛ / 3 śṛ	śṛ	разбей	flag	inflected,unknown	разбить		разбить:V:-:-			
205	kṣan	kṣan	ранен	flag	inflected,unknown	раненный		ранить:V:-:-			
206	dṛh	dṛh	укрепил	flag	inflected,unknown	укрепить		укрепить:V:-:-			
207	śaṅk	śaṅk	опасаясь	flag	inflected,unknown	опасаться		опасаться:V:-:-			
208	chad	chad	тайно	flag	unknown			тайно:ADV:-:-			
209	1 lī / 2 lī	lī	растворяется	flag	inflected,unknown	растворяться		растворяться:V:-:-			
210	tras	tras	перепуганные	flag	unknown			перепугать:V:-:-			
211	cit	cit	даже	ok							
212	riṣ	riṣ	терпит ущерб	flag	phrase,unknown			терпеть:V:-:- ущерб:S:-:-			
213	skand	skand	истекло	flag	inflected,unknown	истечь		истечь:V:-:-			
214	dhū	dhū	дышло	flag	unknown			дышло:S:-:-			
215	rādh	rādh	ты имел успех	flag	phrase,unknown			иметь:V:-:- успех:S:-:-			
216	kruś	kruś	взывали	flag	inflected,unknown	взывать		взывать:V:-:-			
217	kamp	kamp	колебаться	flag	unknown			колебаться:V:-:-			
218	kṣubh	kṣubh	взволновался	flag	inflected,unknown	взволноваться		взволноваться:V:-:-			
219	lag	lag	застрявшие	flag	unknown			застрять:V:-:-			
220	smi	smi	улыбаясь	flag	inflected,unknown	улыбаться		улыбаться:V:-:-			
221	hi	hi	ведь	ok							
222	vam	vam	извергающие	flag	unknown			извергать:V:-:-			
223	1 kṛt / 2 kṛt	kṛt	рассек	flag	inflected,unknown	рассечь		рассечь:V:-:-			
224	kṣar	kṣar	текут	flag	inflected,unknown	течь		течь:V:-:-			
225	van	van	добывает	flag	inflected,unknown	добывать		добывать:V:-:-			
226	bhrāj	bhrāj	сверкающие	flag	unknown			сверкать:V:-:-			
227	1 rā / 2 rā	rā	дар	flag	unknown			дар:S:-:-			
228	kliś	kliś	подверглась оскорблениям	flag	phrase,unknown			подвергнуться:V:-:- оскорбление:S:-:-			
229	gal	gal	утратившая	flag	unknown			утратить:V:-:-			
230	1 vidh / 2 vidh	vidh	почтим	flag	inflected,unknown	почтить		почтить:V:-:-			
231	ric	ric	превосходит	flag	inflected,unknown	превосходить		превосходить:V:-:-			
232	sṛ	sṛ	ушедший	flag	unknown			уйти:V:-:-			
233	kāṅkṣ	kāṅkṣ	желает	flag	inflected,unknown	желать		желать:V:-:-			
234	ceṣṭ	ceṣṭ	действует	flag	inflected,unknown	действовать		действовать:V:-:-			
235	1 yu / 2 yu	yu	Аю	ok	name						
236	san	san	добывает	flag	inflected,unknown	добывать		добывать:V:-:-			
237	śiṣ	śiṣ	остается	flag	inflected,unknown	оставаться		оставаться:V:-:-			
238	sṛp	sṛp	ползает	flag	inflected,unknown	ползать		ползать:V:-:-			
239	ī	ī	просим	flag	inflected,unknown	просить		просить:V:-:-			
240	1 ukṣ / 2 ukṣ	ukṣ	окропит	flag	inflected,unknown	окропить		окропить:V:-:-			
241	mūrch	mūrch	воплощенный	flag	unknown			воплотить:V:-:-			
242	diś	diś	стороны света	flag	phrase,unknown			сторона:S:-:- свет:S:-:-			
243	spṛdh	spṛdh	соперничал	flag	inflected,unknown	соперничать		соперничать:V:-:-			
244	ślāgh	ślāgh	достойного восхваления	flag	phrase,unknown			достойный:A:-:- восхваление:S:-:-			
245	dih	dih	воплощенный	flag	unknown			воплотить:V:-:-			
246	garh	garh	порицать	flag	unknown			порицать:V:-:-			
247	krand	krand	взревел	flag	inflected,unknown	взреветь		взреветь:V:-:-			
248	pinv	pinv	набухает	flag	inflected,unknown	набухать		набухать:V:-:-			
249	vāñch	vāñch	Да пожелают	flag	phrase,unknown			пожелать:V:-:-			
250	garj	garj	шумишь	flag	inflected,unknown	шуметь		шуметь:V:-:-			
251	edh	edh	процветает	flag	inflected,unknown	процветать		процветать:V:-:-			
252	1 śuṣ / 2 śuṣ	śuṣ	пересыхает	flag	inflected,unknown	пересыхать		пересыхать:V:-:-			
253	pyā	pyā	набухшей	flag	inflected,unknown	набухший		набухнуть:V:-:-			
254	bhakṣ	bhakṣ	съесть	flag	unknown			съесть:V:-:-			
255	muṣ	muṣ	отнял	flag	inflected,unknown	отнять		отнять:V:-:-			
256	takṣ	takṣ	вытесали	flag	inflected,unknown	вытесать		вытесать:V:-:-			
257	spṛ	spṛ	освободила	flag	inflected,unknown	освободить		освободить:V:-:-			
258	ghṛṣ	ghṛṣ	терся	flag	inflected,unknown	тереться		тереться:V:-:-			
259	vip	vip	дрожа	flag	inflected,unknown	дрожать		дрожать:V:-:-			
260	sphuṭ	sphuṭ	рассечены	flag	inflected,unknown	рассечённый		рассечь:V:-:-			
261	śvas	śvas	завтра	flag	unknown			завтра:ADV:-:-			
262	carv	carv	Посыпание порошком	flag	phrase,unknown			посыпание:S:-:- порошок:S:-:-			
263	1 dṛ / 2 dṛ	dṛ	разрывается	flag	inflected,unknown	разрываться		разрываться:V:-:-			
264	mṛṣ	mṛṣ	стерпел	flag	inflected,unknown	стерпеть		стерпеть:V:-:-			
265	ṛṣ	ṛṣ	течет	flag	inflected,unknown	течь		течь:V:-:-			
266	vraśc	vraśc	отрубаю	flag	inflected,unknown	отрубать		отрубать:V:-:-			
267	khid	khid	вырывает	flag	inflected,unknown	вырывать		вырывать:V:-:-			
268	pad	pad	достигает	flag	inflected	достигать	3	достигать:V:3:47.90			
269	dhṛṣ	dhṛṣ	дерзко	flag	unknown			дерзко:ADV:-:-			
270	pṛc	pṛc	наполняешь	flag	inflected,unknown	наполнять		наполнять:V:-:-			
271	sraṃs	sraṃs	выпадает	flag	inflected,unknown	выпадать		выпадать:V:-:-			
272	mṛḍ	mṛḍ	Смилуйтесь	flag	inflected,unknown	смиловаться		смиловаться:V:-:-			
273	nah	nah	связано	flag	inflected,unknown	связанный		связанный:V:-:-			
274	dhvaṃs	dhvaṃs	гибнет	flag	inflected,unknown	гибнуть		гибнуть:V:-:-			
275	ghrā	ghrā	обоняя	flag	inflected,unknown	обонять		обонять:V:-:-			
276	lamb	lamb	висящих	flag	inflected,unknown	висящий		висеть:V:-:-			
277	nand	nand	радуется	flag	inflected,unknown	радоваться		радоваться:V:-:-			
278	ruj	ruj	проломил	flag	inflected,unknown	проломить		проломить:V:-:-			
279	1 phal / 2 phal	phal	приносить	flag	unknown			приносить:V:-:-			
280	jalp	jalp	говорил	flag	inflected,unknown	говорить		говорить:V:-:-			
281	klid	klid	окропи	flag	inflected,unknown	окропить		окропить:V:-:-			
283	ghaṭ	ghaṭ	нет	ok							
284	skhal	skhal	спотыкаясь	flag	inflected,unknown	спотыкаться		спотыкаться:V:-:-			
285	lup	lup	отнять	flag	unknown			отнять:V:-:-			
286	nard	nard	крики	flag	unknown			крик:S:-:-			
287	1 jakṣ / 2 jakṣ	jakṣ	съев	flag	inflected,unknown	съесть		съесть:V:-:-			
288	bhās	bhās	свет	flag	unknown			свет:S:-:-			
289	1 dīv / 2 dīv / div	dīv	сыграю	flag	inflected,unknown	сыграть		сыграть:V:-:-			
290	lajj	lajj	стыдливая	flag	unknown			стыдливый:A:-:-			
291	dṛp	dṛp	гордый	flag	unknown			гордый:A:-:-			
292	syand	syand	текут	flag	inflected,unknown	течь		течь:V:-:-			
293	bhikṣ	bhikṣ	Испрашивая	flag	inflected,unknown	испрашивать		испрашивать:V:-:-			
294	cakṣ	cakṣ	расскажи	flag	inflected,unknown	рассказать		рассказать:V:-:-			
295	mī	mī	нарушают	flag	inflected,unknown	нарушать		нарушать:V:-:-			
296	ruṣ	ruṣ	в гневе	flag	phrase,unknown			гнев:S:-:-			
297	kūj	kūj	стонут	flag	inflected,unknown	стонать		стонать:V:-:-			
298	lal	lal	чарующий	flag	unknown			чаровать:V:-:-			
299	īh	īh	стремится	flag	inflected,unknown	стремиться		стремиться:V:-:-			
300	1 mi / 2 mi	mi	сошлись	flag	inflected_ambiguous,unknown			сойтись:V:-:-			
301	pṛṇ	pṛṇ	заполнил	flag	inflected,unknown	заполнить		заполнить:V:-:-			
302	tam	tam	лишается дыхания	flag	phrase,unknown			лишаться:V:-:- дыхание:S:-:-			
303	tud	tud	уязвляемый	flag	unknown			уязвлять:V:-:-			
304	kṣudh	kṣudh	голод	flag	unknown			голод:S:-:-			
305	1 ūh / 2 ūh	ūh	соблюдаете	flag	inflected,unknown	соблюдать		соблюдать:V:-:-			
306	dabh	dabh	обмануть	flag	unknown			обмануть:V:-:-			
307	mārg	mārg	ищет	flag	inflected,unknown	искать		искать:V:-:-			
309	jyā	jyā	вредит	flag	inflected,unknown	вредить		вредить:V:-:-			
310	śliṣ	śliṣ	обняв	flag	inflected,unknown	обнять		обнять:V:-:-			
311	kvath	kvath	сваренную	flag	inflected,unknown	сваренный		сварить:V:-:-			
312	klam	klam	усталые	flag	unknown			усталый:A:-:-			
313	mlā	mlā	падали замертво	flag	phrase,unknown			падать:V:-:- замертво:ADV:-:-			
314	jū	jū	преследует	flag	inflected,unknown	преследовать		преследовать:V:-:-			
315	jṛmbh	jṛmbh	отряхнулся	flag	inflected,unknown	отряхнуться		отряхнуться:V:-:-			
316	īr	īr	поднимаются	flag	inflected,unknown	подниматься		подниматься:V:-:-			
317	1 ru / 2 ru	ru	взревел	flag	inflected,unknown	взреветь		взреветь:V:-:-			
318	sādh	sādh	достигает цели	flag	phrase,unknown		3	достигать:V:3:47.90 целить:V:-:-			
319	ej	ej	движется	flag	inflected,unknown	двигаться		двигаться:V:-:-			
320	glā	glā	несчастных	flag	inflected,unknown	несчастный		несчастный:A:-:-			
321	vrīḍ	vrīḍ	пристыженный	flag	unknown			пристыдить:V:-:-			
322	miṣ	miṣ	на глазах	flag	phrase,unknown			глаз:S:-:-			
323	du / dū	du	знают	flag	inflected	знать	5	знать:V:5:1740.03			
324	kam	kam	возжелал	flag	inflected,unknown	возжелать		возжелать:V:-:-			
325	lū	lū	рассек	flag	inflected,unknown	рассечь		рассечь:V:-:-			
326	svad	svad	сделает вкусными	flag	phrase,unknown		4	сделать:V:4:786.76 вкусный:A:-:-			
327	dyut	dyut	молнии	flag	unknown			молния:S:-:-			
328	1 sā / 2 sā	sā	решительный	flag	unknown			решительный:A:-:-			
329	bhaṇ	bhaṇ	ведет речь	flag	phrase,unknown			вести:V:-:- речь:S:-:-			
330	ghas	ghas	глаз	flag	unknown			глаз:S:-:-			
331	vāś	vāś	заставил звучать	flag	phrase,unknown			заставить:V:-:- звучать:V:-:-			
332	cumb	cumb	целует	flag	inflected,unknown	целовать		целовать:V:-:-			
333	druh	druh	обмана	flag	inflected,unknown	обман		обман:S:-:-			
334	mih	mih	туман	flag	unknown			туман:S:-:-			
335	gāh	gāh	ныряет	flag	inflected,unknown	нырять		нырять:V:-:-			
336	rabh	rabh	начал	flag	inflected,unknown	начать		начать:V:-:-			
337	sīv	sīv	цепь	flag	unknown			цепь:S:-:-			
338	gṛdh	gṛdh	охочим становится	flag	phrase,unknown			охочий:A:-:- становиться:V:-:-			
339	aṭ	aṭ	странствующий	flag	unknown			странствовать:V:-:-			
340	kṣud	kṣud	рвет	flag	inflected,unknown	рвать		рвать:V:-:-			
341	mah	mah	великого	flag	inflected,unknown	великий		великий:A:-:-			
342	ri / rī	ri	высокое	flag	unknown			высокий:A:-:-			
343	las	las	развлекайся	flag	inflected,unknown	развлекаться		развлекаться:V:-:-			
344	kath	kath	говори	flag	inflected,unknown	говорить		говорить:V:-:-			
345	nakṣ	nakṣ	достигли	flag	inflected,unknown	достигнуть		достигнуть:V:-:-			
346	kan	kan	любящий	flag	unknown			любить:V:-:-			
347	aj	aj	выгнал	flag	inflected,unknown	выгнать		выгнать:V:-:-			
348	stubh	stubh	возгласы	flag	unknown			возглас:S:-:-			
349	tṛṣ	tṛṣ	мучимый жаждой	flag	phrase,unknown			мучить:V:-:- жажда:S:-:-			
350	val	val	Валина	ok	name						
351	vṛh	vṛh	вырываю	flag	inflected,unknown	вырывать		вырывать:V:-:-			
352	ghūrṇ	ghūrṇ	реяли	flag	inflected,unknown	реять		реять:V:-:-			
353	dhī	dhī	молитвы	flag	unknown			молитва:S:-:-			
354	nāth	nāth	нуждаясь в помощи	flag	phrase,unknown			нуждаться:V:-:- помощь:S:-:-			
355	spand	spand	деятельностью	flag	inflected,unknown	деятельность		деятельность:S:-:-			
356	ras	ras	поднялся	flag	inflected,unknown	подняться		подняться:V:-:-			
357	uc	uc	нравится	flag	inflected,unknown	нравиться		нравиться:V:-:-			
358	dhūrv	dhūrv	вредящего	flag	inflected,unknown	вредящий		вредить:V:-:-			
360	bhūṣ	bhūṣ	окружаете	flag	inflected,unknown	окружать		окружать:V:-:-			
361	cak	cak	находишь удовольствие	flag	phrase,unknown			находить:V:-:- удовольствие:S:-:-			
362	hvṛ	hvṛ	обходящий	flag	unknown			обходить:V:-:-			
363	dhanv	dhanv	лучников	flag	inflected,unknown	лучник		лучник:S:-:-			
364	rih	rih	лижут	flag	inflected,unknown	лизать		лизать:V:-:-			
366	kāś	kāś	сияет	flag	inflected,unknown	сиять		сиять:V:-:-			
367	radh	radh	отдай во власть	flag	phrase,unknown			отдать:V:-:- власть:S:-:-			
368	1 ran / 2 ran	ran	радуются	flag	inflected,unknown	радоваться		радоваться:V:-:-			
369	vakṣ	vakṣ	вырос	flag	inflected,unknown	вырасти		вырасти:V:-:-			
370	1 ṛj / 2 ṛj	ṛj	простираясь	flag	inflected,unknown	простираться		простираться:V:-:-			
371	veṣṭ	veṣṭ	сокращается	flag	inflected,unknown	сокращаться		сокращаться:V:-:-			
372	lul	lul	заболело	flag	inflected,unknown	заболеть		заболеть:V:-:-			
373	valg	valg	приплясывая	flag	inflected,unknown	приплясывать		приплясывать:V:-:-			
374	nabh	nabh	Пусть лопнут	flag	phrase,unknown			лопнуть:V:-:-			
375	prā	prā	заполнил	flag	inflected,unknown	заполнить		заполнить:V:-:-			
376	rej	rej	трясутся	flag	inflected,unknown	трястись		трястись:V:-:-			
377	lakṣ	lakṣ	видел	flag	inflected,unknown	видеть		видеть:V:-:-			
378	svaj	svaj	обнял	flag	inflected,unknown	обнять		обнять:V:-:-			
379	svar	svar	солнце	flag	unknown			солнце:S:-:-			
380	tṛd	tṛd	пробуравил	flag	inflected,unknown	пробуравить		пробуравить:V:-:-			
381	day	day	раздает	flag	inflected,unknown	раздавать		раздавать:V:-:-			
382	paṇ	paṇ	поставим на кон	flag	phrase,unknown			поставить:V:-:- кон:S:-:-			
383	piś	piś	украсил	flag	inflected,unknown	украсить		украсить:V:-:-			
384	tuj	tuj	Туджи	ok	name						
385	rad	rad	укусил	flag	inflected,unknown	укусить		укусить:V:-:-			
386	spṛh	spṛh	желанные	flag	unknown			желанный:A:-:-			
387	mṛś	mṛś	схватил	flag	inflected,unknown	схватить		схватить:V:-:-			
388	1 uṣ / 2 uṣ	uṣ	прошла	flag	inflected,unknown	пройти		пройти:V:-:-			
389	dhvan	dhvan	загрохотал	flag	inflected,unknown	загрохотать		загрохотать:V:-:-			
390	laṅgh	laṅgh	поглощается	flag	inflected,unknown	поглощаться		поглощаться:V:-:-			
391	cud	cud	направь	flag	inflected,unknown	направить		направить:V:-:-			
393	cāy	cāy	почтил	flag	inflected,unknown	почтить		почтить:V:-:-			
394	ghuṣ	ghuṣ	оглашаемую	flag	inflected,unknown	оглашаемый		оглашать:V:-:-			
395	hīḍ	hīḍ	выщипала	flag	inflected,unknown	выщипать		выщипать:V:-:-			
396	viṣ	viṣ	ищи	flag	inflected,unknown	искать		искать:V:-:-			
397	hras	hras	уменьшается	flag	inflected,unknown	уменьшаться		уменьшаться:V:-:-			
398	hrī	hrī	скромность	flag	unknown			скромность:S:-:-			
399	katth	katth	похвалялся	flag	inflected,unknown	похваляться		похваляться:V:-:-			
400	kvaṇ	kvaṇ	звенящие	flag	unknown			звенеть:V:-:-			
401	mṛṇ	mṛṇ	дробя	flag	inflected,unknown	дробить		дробить:V:-:-			
402	truṭ	truṭ	рваться	flag	unknown			рваться:V:-:-			
403	dal	dal	пряди волос	flag	phrase,unknown			прясть:V:-:- волос:S:-:-			
404	iyakṣ	iyakṣ	хочет покорить	flag	phrase,unknown			хотеть:V:-:- покорить:V:-:-			
405	vij	vij	страшится	flag	inflected,unknown	страшиться		страшиться:V:-:-			
406	heṣ	heṣ	заржал	flag	inflected,unknown	заржать		заржать:V:-:-			
407	lap	lap	причитала	flag	inflected,unknown	причитать		причитать:V:-:-			
408	1 luṭh / 2 luṭh	luṭh	простерся	flag	inflected,unknown	простереться		простереться:V:-:-			
409	ribh	ribh	распевая	flag	inflected,unknown	распевать		распевать:V:-:-			
410	bhas	bhas	пожирая	flag	inflected,unknown	пожирать		пожирать:V:-:-			
411	cṛt	cṛt	разними	flag	inflected,unknown	разнять		разнять:V:-:-			
412	ghṛ	ghṛ	кроплю	flag	inflected,unknown	кропить		кропить:V:-:-			
413	mikṣ	mikṣ	смешанный	flag	unknown			смешать:V:-:-			
414	vañc	vañc	Пусть скачут	flag	phrase,unknown			скакать:V:-:-			
415	īṣ	īṣ	Прими	flag	inflected,unknown	принять		принять:V:-:-			
416	cañc	cañc	сверкающий	flag	unknown			сверкать:V:-:-			
417	sap	sap	упряжка	flag	unknown			упряжка:S:-:-			
418	sas	sas	спящего	flag	inflected,unknown	спящий		спать:V:-:-			
419	śṛdh	śṛdh	дерзкого	flag	inflected,unknown	дерзкий		дерзкий:A:-:-			
420	chand	chand	кажется	flag	inflected,unknown	казаться		казаться:V:-:-			
421	cūṣ	cūṣ	облизываешься	flag	inflected,unknown	облизываться		облизываться:V:-:-			
422	das	das	иссякают	flag	inflected,unknown	иссякать		иссякать:V:-:-			
423	gur	gur	воспевание	flag	unknown			воспевание:S:-:-			
424	mṛdh	mṛdh	врагов	flag	inflected,unknown	враг		враг:S:-:-			
425	1 drā / 2 drā	drā	Пусть бегут прочь	flag	phrase,unknown			бежать:V:-:- прочить:V:-:-			
426	nij	nij	смою	flag	inflected,unknown	смыть		смыть:V:-:-			
427	pluṣ	pluṣ	опаленную	flag	inflected,unknown	опалённый		опалить:V:-:-			
428	śnath	śnath	столкни	flag	inflected,unknown	столкнуть		столкнуть:V:-:-			
429	cakās	cakās	ехавшего	flag	inflected,unknown	ехавший		ехать:V:-:-			
430	kṣu	kṣu	на которую чихнули	flag	phrase,unknown			который:A:-:- чихнуть:V:-:-			
431	skambh	skambh	укреплены	flag	inflected,unknown	укреплённый		укрепить:V:-:-			
432	stan	stan	стонущие	flag	unknown			стонать:V:-:-			
433	vyac	vyac	покрывает	flag	inflected,unknown	покрывать		покрывать:V:-:-			
434	svan	svan	с шумом	flag	phrase,unknown			шум:S:-:-			
435	tṛh	tṛh	убил	flag	inflected,unknown	убить		убить:V:-:-			
436	ven	ven	Видят	flag	inflected,unknown	видеть		видеть:V:-:-			
437	1 śad / 2 śad	śad	кичащуюся	flag	inflected,unknown	кичащийся		кичиться:V:-:-			
438	bṛṃh	bṛṃh	мощного	flag	inflected,unknown	мощный		мощный:A:-:-			
