rank	root_iast	dcs_lemma	gloss_ru	status	flags	gloss_lemma	min_band	nkrya_tokens	synonym_proposal	synonym_ipm	synonym_band
530	jeh	jeh	изнывая	flag	inflected,unknown	изнывать		изнывать:V:-:-			
532	kuṣ	kuṣ	терзавших	flag	inflected,unknown	терзавший		терзать:V:-:-			
533	rapś	rapś	переполнен	flag	inflected,unknown	переполненный		переполненный:V:-:-			
534	taṃs	taṃs	ослабь	flag	inflected,unknown	ослабить		ослабить:V:-:-			
535	tu	tu	же	ok							
536	vīj	vīj	овевали	flag	inflected,unknown	овевать		овевать:V:-:-			
537	yād	yād	соединяющиеся	flag	unknown			соединяться:V:-:-			
539	1 akṣ / 2 akṣ	akṣ	в битве за ось и чеку (колесницы)	flag	phrase,unknown			битва:S:-:- ось:S:-:- чек:S:-:- колесница:S:-:-			
541	bhan	bhan	говорят	flag	inflected,unknown	говорить		говорить:V:-:-			
542	bhreṣ	bhreṣ	оступится	flag	inflected,unknown	оступиться		оступиться:V:-:-			
543	cup	cup	движется	flag	inflected,unknown	двигаться		двигаться:V:-:-			
545	kūrd	kūrd	приплясывая	flag	inflected,unknown	приплясывать		приплясывать:V:-:-			
546	nikṣ	nikṣ	Пробуравь	flag	inflected,unknown	пробуравить		пробуравить:V:-:-			
547	ubh	ubh	оба	ok							
548	vat	vat	сказал	flag	inflected	сказать	5	сказать:V:5:2472.22			
550	bharv	bharv	принеси	flag	inflected,unknown	принести		принести:V:-:-			
551	bhur	bhur	сотрясают	flag	inflected,unknown	сотрясать		сотрясать:V:-:-			
552	dhav	dhav	сбегаетесь	flag	inflected,unknown	сбегаться		сбегаться:V:-:-			
553	drū	drū	бегун	flag	unknown			бегун:S:-:-			
555	hās	hās	мчатся наперегонки	flag	phrase,unknown			мчаться:V:-:- наперегонки:ADV:-:-			
557	mruc	mruc	закате	flag	inflected,unknown	закат		закат:S:-:-			
558	rip	rip	все вокруг	ok	phrase						
559	sarj	sarj	скрипнет	flag	inflected,unknown	скрипнуть		скрипнуть:V:-:-			
560	snu	snu	вершины	flag	unknown			вершина:S:-:-			
562	tand	tand	слабеет	flag	inflected,unknown	слабеть		слабеть:V:-:-			
563	tañc	tañc	взметнувшись	flag	inflected,unknown	взметнуться		взметнуться:V:-:-			
565	can	can	другие	ok			5	другой:A:5:2034.50			
566	caṭ	caṭ	лез	flag	inflected,unknown	лезть		лезть:V:-:-			
567	dad	dad	дали	flag	inflected,unknown	дать		дать:V:-:-			
568	dhan	dhan	поднятая	flag	unknown			поднять:V:-:-			
569	dās	dās	угрожает	flag	inflected,unknown	угрожать		угрожать:V:-:-			
570	dṛbh	dṛbh	Дарбхин	ok	name						
575	jūrv	jūrv	спалите	flag	inflected,unknown	спалить		спалить:V:-:-			
578	mnā	mnā	считаться	flag	unknown			считаться:V:-:-			
