pack	lemma_slp1	surface	locus	status	candidate	candidate_source	gloss_en
hitopadesa-0	adravya	adravye	42	not_russian			a nothing; a worthless thing; [medic.] not a dravya = e.g. the mental disposition of the…
hitopadesa-0	ahāryatva	ahāryatvād	4	not_russian			the state of not being liable to be taken away
hitopadesa-0	ajāgalastana	ajāgalastanasya	26	not_russian			nipple or fleshy protuberance on the neck of goats; an emblem of any useless or worthless…
hitopadesa-0	anargha	anargha	4	not_russian			priceless; invaluable
hitopadesa-0	anudyoga	anudyogena	32	not_russian			absence of exertion or effort; inactivity
hitopadesa-0	autkārṣya	autkārṣyam	30	empty			
hitopadesa-0	daiva	daivaṃ	30	not_russian	божественный	seeder_deck	a religious offering or rite; divine power or will; destiny; fate; chance; a deity; finge…
hitopadesa-0	ekaika	ekaikam	11	not_russian	один за другим	seeder_deck	one by one; single; every single one
hitopadesa-0	hitopadeśa	hitopadeśo	2	not_russian			friendly advice; salutary instruction; name of a popular collection of fables intermixed…
hitopadesa-0	jāragarbha	jāragarbha	39	not_russian			a child by a paramour; bastard
hitopadesa-0	kathāmukha	kathāmukham	10	not_russian			introduction to a tale; name of the second Lambaka or book of the Kathāsaritsāgara
hitopadesa-0	kaṭhinī	kaṭhinī	16	not_russian			chalk
hitopadesa-0	kuśūla	kuśūla	21	empty			
hitopadesa-0	kākatālīya	kākatālīya	35	not_russian			after the manner of the crow and the palm-fruit; unexpected
hitopadesa-0	maithuna	maithunāni	25	not_russian			connection; copulation; marriage; sexual intercourse
hitopadesa-0	mārakata	mārakatīr	40	not_russian			belonging to an emerald; having any of the properties or qualities of an emerald; coloure…
hitopadesa-0	nirgandha	nirgandhā	38	not_russian			void of smell; inodorous
hitopadesa-0	nīcagā	nīcagā	5	not_russian			a river
hitopadesa-0	pauruṣa	pauruṣam	33	not_russian			manhood; virility (opp. to strītva); manliness; manly strength or courage or deed; valour…
hitopadesa-0	pañcatantra	pañcatantrāt	9	not_russian			name of the well-known collection of moral stories and fables in 5 books; name of a poem…
hitopadesa-0	pravīṇatā	pravīṇatām	40	not_russian			skill; proficiency
hitopadesa-0	pāṭaliputra	pāṭaliputra	10	not_russian			name of a town
hitopadesa-0	samunnati	samunnatim	15	not_russian			rising; swelling; exaltation; eminence; high position; elevation; increase; growth
hitopadesa-0	sutin	sutinī	16	not_russian			having sons
hitopadesa-0	taila	tailāni	32	not_russian			sesamum oil; oil; olibanum
hitopadesa-0	ucchedin	ucchedi	10	not_russian			destroying; resolving (doubts or difficulties)
hitopadesa-0	udayagiri	udayagireḥ	45	not_russian			the eastern mountain
hitopadesa-0	udyogin	udyoginaṃ	33	not_russian	прилежный, энергичный	seeder_deck	one who makes effort; active; laborious; persevering; energetic
hitopadesa-0	unmārga	unmārga	12	not_russian			deviation from the right way; wrong way (lit. and fig.)
hitopadesa-0	vaicitrya	vaicitryaṃ	2	not_russian			variety; manifoldness; diversity; sorrow; despair
hitopadesa-0	vairin	vairī	37	not_russian			an enemy; a hero
hitopadesa-0	viśiṣṭatā	viśiṣṭatām	41	empty			
hitopadesa-0	viṣṇuśarman	viṣṇuśarma	42	not_russian			name of various authors and other persons
hitopadesa-0	yauvana	yauvanaṃ	11	not_russian			youth; youthfulness; adolescence; puberty; manhood; a number of young people (esp. of you…
hitopadesa-0	ālambin	ālambī	21	not_russian			hanging from; resting or leaning upon; depending on or from; laying hold of; supporting;…
hitopadesa-0	śaurya	śaurye	17	not_russian			heroism; valour; prowess; might; the heroic branch of dramatic art; name of a village
hitopadesa-0	ṛṇakartṛ	ṛṇakartā	22	not_russian			one who contracts a debt; indebted
