pack	lemma_slp1	surface	locus	gloss_ru	status	flags	gloss_lemma	min_band	nkrya_tokens	synonym_proposal	synonym_ipm	synonym_band
hitopadesa-0	bhāva	bhāvā	28	бытие	ok			3	бытие:S:3:57.09			
hitopadesa-0	bhāvin	bhāvino	28	быть	ok			6	быть:V:6:12831.00			
hitopadesa-0	bhū	bhavati	16	быть	ok			6	быть:V:6:12831.00			
hitopadesa-0	bhūpati	bhūpatir	10	царь	ok			4	царь:S:4:196.75			
hitopadesa-0	brū	abravīt	42	сказать	ok			5	сказать:V:5:2472.22			
hitopadesa-0	bāla	bālo	37	дети	ok			4	ребёнок:S:4:619.51			
hitopadesa-0	bṛhaspati	bṛhaspatir	42	Брихаспати	ok	name						
hitopadesa-0	ca	ca	13	и	ok							
hitopadesa-0	cakra	cakreṇa	30	колесо	flag	unknown			колесо:S:-:-			
hitopadesa-0	cakṣus	cakṣuṣā	12	глаз	flag	unknown			глаз:S:-:-			
hitopadesa-0	candramas	candramās	18	луна	flag	unknown			луна:S:-:-			
hitopadesa-0	catuṣṭaya	catuṣṭayam	11	четыре	ok							
hitopadesa-0	ced	cen	29	если	ok							
hitopadesa-0	chala	chalena	8	словесные ухищрения	flag	phrase,unknown			словесный:A:-:- ухищрение:S:-:-			
hitopadesa-0	cintay	cintayāmāsa	12	подумать	flag	unknown			подумать:V:-:-			
hitopadesa-0	cintā	cintā	29	мысль	flag	unknown			мысль:S:-:-			
hitopadesa-0	daiva	daivaṃ	30	a religious offering or rite; divine power or will; destiny; fate; chance; a deity; finge…	not_russian	not_russian						
hitopadesa-0	darśaka	darśakam	10	вызвавший появление	flag	phrase,unknown			вызвать:V:-:- появление:S:-:-			
hitopadesa-0	dehin	dehinaḥ	27	воплощенный	flag	unknown			воплотить:V:-:-			
hitopadesa-0	deva	devaiḥ	42	боги	flag	unknown			бог:S:-:-			
hitopadesa-0	dhana	dhana	11	богатство	flag	unknown			богатство:S:-:-			
hitopadesa-0	dhanus	dhanus	23	лук	flag	unknown			лук:S:-:-			
hitopadesa-0	dhanya	dhanyo	21	счастливый	flag	unknown			счастливый:A:-:-			
hitopadesa-0	dharma	dharma	26	дхарма	flag	unknown			дхарма:S:-:-			
hitopadesa-0	dhā	dhatte	40	дать	flag	unknown			дать:V:-:-			
hitopadesa-0	dhārmika	dhārmikaḥ	12	добродетельный	flag	unknown			добродетельный:A:-:-			
hitopadesa-0	dhūrjaṭi	dhūrjaṭeḥ	1	Дхурджати	ok	name						
hitopadesa-0	doṣa	doṣaḥ	33	зло	flag	unknown			зло:S:-:-			
hitopadesa-0	draviṇa	draviṇa	14	богатство	flag	unknown			богатство:S:-:-			
hitopadesa-0	dravya	dravyeṣu	4	субстанция	flag	unknown			субстанция:S:-:-			
hitopadesa-0	durdharṣa	durdharṣaṃ	5	неодолимый	flag	unknown			неодолимый:A:-:-			
hitopadesa-0	duḥkha	duḥkha	13	горе	flag	unknown			гора:S:-:-			
hitopadesa-0	dvaya	dvayam	10	два	ok							
hitopadesa-0	dvi	dve	7	два	ok							
hitopadesa-0	dvitīya	dvitīyā	7	второй	flag	unknown			второй:A:-:-			
hitopadesa-0	dyuti	dyutīḥ	40	блеск	flag	unknown			блеск:S:-:-			
hitopadesa-0	dā	dadāti	2	давать	flag	unknown			давать:V:-:-			
hitopadesa-0	dāna	dāne	17	дары	flag	unknown			дар:S:-:-			
hitopadesa-0	dīp	dīpyate	45	пылающий	flag	unknown			пылать:V:-:-			
hitopadesa-0	dṛś	dṛṣṭvā	35	увидеть	ok			4	увидеть:V:4:448.26			
hitopadesa-0	eka	eko	18	один	flag	unknown			один:A:-:-			
hitopadesa-0	ekadā	ekadā	10	однажды	flag	unknown			однажды:ADV:-:-			
hitopadesa-0	ekaika	ekaikam	11	one by one; single; every single one	not_russian	not_russian						
hitopadesa-0	etad	etāsu	24	это	ok							
hitopadesa-0	eva	eva	10	именно	ok							
hitopadesa-0	evam	evam	34	так	ok							
hitopadesa-0	evambhūta	evambhūto	40	таким образом	flag	phrase,unknown			такой:A:-:- образ:S:-:-			
hitopadesa-0	gam	gatāsv	24	отправиться	flag	unknown			отправиться:V:-:-			
hitopadesa-0	garbha	garbheṣu	14	зародыш	flag	unknown			зародыш:S:-:-			
hitopadesa-0	garbhasrāva	garbhasrāvo	14	выкидыш	flag	unknown			выкидыш:S:-:-			
hitopadesa-0	gati	gatir	30	путь	flag	unknown			путь:S:-:-			
hitopadesa-0	gaṇa	gaṇa	16	сонмы	flag	unknown			сонм:S:-:-			
hitopadesa-0	gaṇanā	gaṇanā	16	счёт	flag	unknown			счёт:S:-:-			
hitopadesa-0	ghna	ghnaḥ	29	губить	flag	unknown			губить:V:-:-			
hitopadesa-0	go	gaur	24	корова	flag	unknown			корова:S:-:-			
hitopadesa-0	gotra	gotre	43	род	flag	unknown			род:S:-:-			
hitopadesa-0	grah	gṛhīta	3	взять	ok			4	взять:V:4:611.30			
hitopadesa-0	grantha	granthād	9	книги	flag	unknown			книга:S:-:-			
hitopadesa-0	grāhay	grāhayituṃ	42	обучить	flag	unknown			обучить:V:-:-			
hitopadesa-0	guru	guru	39	гуру	flag	unknown			гуру:S:-:-			
