source_name,target_name,action
Основы Аюрведы очно (завершено в 2026),Основы Аюрведы,rename
"Астрономия для астрологов (1 поток, весна 2025)","Астрономия для астрологов (1 поток, 2025)",rename
Основы Аюрведы в записи,Основы Аюрведы в записи,create_hidden
"Йога-сутры Патанджали (2 поток, 2025-2026)","Йога-сутры Патанджали (2 поток, 2025)",rename
Грамматика по Кочергиной гр.35,Грамматика по Кочергиной гр.35,create_hidden
Кашмирский шиваизм 2025,"Кашмирский шиваизм (1 поток, 2025)",rename
Избранные главы из Бхагавадгиты 3 цикл,Избранные главы из Бхагавадгиты 3 цикл (2025),rename
Грамматика по Кочергиной гр.38,Грамматика по Кочергиной гр.38,create_hidden
Осознанные сновидения - нидра,Осознанные сновидения - нидра (2025),rename
Избранные главы из Бхагавадгиты 4 цикл,Избранные главы из Бхагавадгиты 4 цикл (2025-2026),rename
Грамматика по Кочергиной гр.44,Грамматика по Кочергиной гр.44,create_hidden
"Астрономия для астрологов (2 поток, осень 2025)","Астрономия для астрологов (2 поток, 2025)",rename
Морфология Зализняка 2025-2026,Морфология Зализняка (2025-2026),rename
Грамматика по Бюллеру гр.26,Грамматика по Бюллеру гр.26,create_hidden
Напевный санскрит - гимн 108 имен Шивы 2025,Напевный санскрит - гимн 108 имен Шивы (2025),rename
Напевный санскрит - гимн Шиве 2025,Напевный санскрит - гимн Шиве (2025),rename
"Грамматика хинди гр. 3, пт","Грамматика хинди гр. 3, пятница (2025)",rename
Основы индийской философии 2026,Основы индийской философии (2026),rename
Напевный санскрит - гимн Патанджали 2025,Напевный санскрит - гимн Патанджали (2025),rename
Напевный санскрит - гимн Кали 2025,Напевный санскрит - гимн Кали (2025),rename
Грамматика по Кочергиной гр.46,Грамматика по Кочергиной гр.46,create_hidden
Грамматика по Кочергиной гр.49,Грамматика по Кочергиной гр.49,create_hidden
Напевный санскрит - гимн Гаятри 2025,Напевный санскрит - гимн Гаятри (2025),rename
Гимн Бхагавадгиты 2026 (1/3 часть),"Напевный санскрит - гимн Бхагавадгиты (1 часть, 2026)",rename
"Йога-сутры Патанджали в записи (1 поток, 2025)","Йога-сутры Патанджали (1 поток, 2025) в записи",rename
Грамматика по Кочергиной гр.47,Грамматика по Кочергиной гр.47,create_hidden
Грамматика по Кочергиной гр.36,Грамматика по Кочергиной гр.36,create_hidden
"Кашмирский шиваизм, часть 2 2026","Кашмирский шиваизм (2 поток, 2026)",rename
"Грамматика хинди гр. 4, сб, продолжающие","Грамматика хинди гр. 4, суббота, продолжающие (2025)",rename
Грамматика по Кочергиной гр.48,Грамматика по Кочергиной гр.48,create_hidden
Избранные главы из Бхагавадгиты 2 цикл,Избранные главы из Бхагавадгиты 2 цикл (2024),rename
Караки по Панини 2025,Караки по Панини (2025),rename
География Индии 2026,География Индии (2026),rename
Напевный санскрит - гимн Дханвантари 2024,Напевный санскрит - гимн Дханвантари (2024),rename
Разбор Хануман Чалисы 2026,Разбор Хануман Чалисы (2026),rename
Ежедневные молитвы с Ушей Санкой 1-е в записи,"Ежедневные молитвы с Ушей Санкой, 1 часть (2024)",rename
"Грамматика хинди гр. 5, вт","Грамматика хинди гр. 5, вторник (2025)",rename
Продленка санскрита 2025,Продленка санскрита (2025),rename
Гимн Сурьи 2026,Напевный санскрит - гимн 108 имен Сурьи (2026),rename
Напевный санскрит - гимн Ганеше 2024,Напевный санскрит - гимн Ганеше (2024),rename
Напевный санскрит - гимн Гуру стотрам 2025,Напевный санскрит - гимн Гуру стотрам (2025),rename
Ранние санскритские рукописи 2026,Ранние санскритские рукописи (2026),rename
Гимн Абхинавагупты 2026,"Напевный санскрит - гимн «Прославление Бхайравы», изреченное Абхинавагуптой (2026)",rename
Санскритская литература 2025,Санскритская литература (2025),rename
"Грамматика хинди гр. 1, пн","Грамматика хинди гр. 1, пн",create_hidden
Грамматика по Кочергиной гр.52,Грамматика по Кочергиной гр.52,create_hidden
Грамматика по Кочергиной гр.43,Грамматика по Кочергиной гр.43,create_hidden
"Грамматика хинди гр. 2, чт","Грамматика хинди гр. 2, чт",create_hidden
Ликбез по веданте 2025,Ликбез по веданте (2025),rename
Ежедневные молитвы с Ушей Санкой 2-е в записи,"Ежедневные молитвы с Ушей Санкой, 2 часть (2024)",rename
Грамматика по Кочергиной гр.31,Грамматика по Кочергиной гр.31,create_hidden
Избранные главы из Бхагавадгиты 1 цикл,Избранные главы из Бхагавадгиты 1 цикл (2024),rename
Ведийская литература 2026,Ведийская литература (2026),rename
Ежедневные молитвы с Ушей Санкой 3-е в записи,"Ежедневные молитвы с Ушей Санкой, 3 часть (2024)",rename
Гимн Бхагавадгиты 2026 (2/3 часть),"Напевный санскрит - гимн Бхагавадгиты (2 часть, 2026)",rename
"Астрономия для астрологов (1 поток, весна 2025) в записи","Астрономия для астрологов (1 поток, весна 2025) в записи",create_hidden
Грамматика по Кочергиной гр.45,Грамматика по Кочергиной гр.45,create_hidden
Азы санскрита в записи,Напевный санскрит - азы санскрита,rename
Дети 2025,Дети (2025),rename
Повторная аюрведа в записи,Повторная аюрведа в записи,create_hidden
Караки по Панини 2025-2026 в записи,Караки по Панини 2025-2026 в записи,create_hidden
Аюрведа Соболева в записи (не продаем),Аюрведа Соболева в записи (не продаем),create_hidden
