source_name,target_name,action
Ликбез по лингвистике в записи,"Ликбез по лингвистике (1 поток, 2024)",rename
Дети старшая группа 2024,Дети старшая группа 2024,create_hidden
Кашмирский шиваизм 2025 в записи,Кашмирский шиваизм 2025 в записи,create_hidden
Напевный санскрит - гимн сутр Патанджали 2026,Йога-сутры Патанджали (2026),rename
"Напевный санскрит - гимн сутр Патанджали, вторник 15:00 (2026)","Йога-сутры Патанджали, вторник 15:00 (2026)",rename
"Напевный санскрит - гимн сутр Патанджали, воскресенье 10:00 (2026)","Йога-сутры Патанджали, воскресенье 10:00 (2026)",rename
Напевный санскрит - гимн Шивы 2022 в записи,Напевный санскрит - гимн Шивы (2022),rename
Синтаксис санскрита в записи,Синтаксис санскрита в записи,create_hidden
Каллиграфия 2026,Каллиграфия (2026),rename
Избранные главы из Бхагавадгиты в записи,Избранные главы из Бхагавадгиты в записи,create_hidden
Дети младшая группа 2024,"Дети, младшая группа (2024)",rename
Доп. занятия по хинди,Дополнительные занятия по хинди,rename
Логика в записи,Логика в записи,create_hidden
Перевод басен гр. 35,Перевод басен гр. 35,create_hidden
Донат на развитие ОРС,Донат на развитие Общества Ревнителей Санскрита,rename
Напевный санскрит - гимн Наваграхи в записи,Напевный санскрит - гимн Наваграхи (2023),rename
Напевный санскрит - гимн Шани в записи,Напевный санскрит - гимн Шани (2023),rename
Разбор 108 имен Шивы в записи,Разбор 108 имен Шивы в записи,create_hidden
Напевный санскрит - гимн Хануману 2023,Напевный санскрит - гимн Хануману (2023),rename
"Детский санскрит 2025, гр. 1","Детский санскрит (2026), гр. 1",rename
Напевный санскрит - гимн Дурге 2023 в записи,Напевный санскрит - гимн Дурге (2023),rename
Напевный санскрит - гимн Нарасимхе 2023,Напевный санскрит - гимн Нарасимхе (2023),rename
Ликбез по лингвистике (2023),Ликбез по лингвистике (2023),create_hidden
Ежедневные молитвы с Ушей Санкой 1-е,"Ежедневные молитвы с Ушей Санкой, 1 часть (2024)",rename
Ежедневные молитвы с Ушей Санкой 2-е,"Ежедневные молитвы с Ушей Санкой, 2 часть (2024)",rename
Ежедневные молитвы с Ушей Санкой 3-е,"Ежедневные молитвы с Ушей Санкой, 3 часть (2024)",rename
Ликбез по веданте 2026,Ликбез по веданте (2025),rename
Ликбез по веданте 2027,Ликбез по веданте (2025),rename
Ликбез по веданте 2028,Ликбез по веданте (2025),rename
