audio_id	set	file	su_num	slug	iast	deva_pratika	duration_s	size_bytes	bitrate_kbps	anthology_num	anthology_page	is_num	match_method
sub-koch-daridran_101	kochergina	Kochergina-Subhashitas/Su-Daridran_101.mp3		Su-Daridran_101	Daridran	दरिद्रान्	19.28	308904	128			2714	file_pratika
sub-koch-diva	kochergina	Kochergina-Subhashitas/Su-Diva.mp3		Su-Diva	Diva	दिवा	17.66	282991	128				unmatched
sub-koch-hastasya	kochergina	Kochergina-Subhashitas/Su-Hastasya.mp3		Su-Hastasya	Hastasya	हस्तस्य	20.87	334400	128				unmatched
sub-koch-kavih_128	kochergina	Kochergina-Subhashitas/Su-Kavih_128.mp3		Su-Kavih_128	Kaviḥ	कविः	16.27	260839	128				unmatched
sub-koch-kavya	kochergina	Kochergina-Subhashitas/Su-Kavya.mp3		Su-Kavya	Kavya shastra vinodena	काव्यशास्त्रविनोदेन	18.02	288842	128			1711	file_pratika
sub-koch-lobhat	kochergina	Kochergina-Subhashitas/Su-Lobhat.mp3		Su-Lobhat	Lobhat krodhah	लोभात्क्रोधः	20.66	331056	128			5883	file_pratika
sub-koch-nakashcit	kochergina	Kochergina-Subhashitas/Su-NaKashcit.mp3		Su-NaKashcit	Vidvattvam	विद्वत्तवं	18.34	293858	128				unmatched
sub-koch-sarvatra	kochergina	Kochergina-Subhashitas/Su-Sarvatra.mp3		Su-Sarvatra	Sarvatra	सर्वत्र	17.42	279229	128				unmatched
sub-koch-sarvepi_128	kochergina	Kochergina-Subhashitas/Su-Sarvepi_128.mp3		Su-Sarvepi_128	Sarve 'pi	सर्वे ऽपि	18.94	303471	128				unmatched
sub-koch-trividham	kochergina	Kochergina-Subhashitas/Su-Trividham.mp3		Su-Trividham	Trividham	त्रिविधं	18.86	302217	128			2645	file_pratika
sub-koch-tyaja_100	kochergina	Kochergina-Subhashitas/Su-Tyaja_100.mp3		Su-Tyaja_100	Tyaja	त्यज	18.47	295948	128				unmatched
sub-koch-vidvattvam	kochergina	Kochergina-Subhashitas/Su-Vidvattvam.mp3		Su-Vidvattvam	Vidvattvam	विद्वत्तवं	18.34	293858	128				unmatched
sub-koch-vidya	kochergina	Kochergina-Subhashitas/Su-Vidya.mp3		Su-Vidya	Vidya	विद्या	19.23	308068	128				unmatched
sub-koch-vidyanama	kochergina	Kochergina-Subhashitas/Su-VidyaNama.mp3		Su-VidyaNama	Vidya nama	विद्या नाम	37.93	607327	128			6089	file_pratika
sub-koch-yathahye	kochergina	Kochergina-Subhashitas/Su-Yathahye.mp3		Su-Yathahye	Yatha hye kena	यथा ह्येकेन	16.80	269198	128			5161	file_pratika
sub-su001-udyama	systematic	Su1-Udyama.mp3	1	Udyama	Udyamena	उद्यमेन हि सिध्यन्ति	18.65	298873	128	1	5	1249	verse_prefix
sub-su002-gate	systematic	Su2-Gate.mp3	2	Gate	Gate	गते शोकं न	19.54	313084	128	2	6		unmatched
sub-su003-varam	systematic	Su3-Varam.mp3	3	Varam	Varam	वरं पर्वतदुर्गेषु भ्रान्तं	17.97	288006	128	3	7	5975	verse_prefix
sub-su004-vidya	systematic	Su4-Vidya.mp3	4	Vidya	Vidya	विद्या विवादाय धनं	23.85	382047	128	4	8	6099	verse_prefix
sub-su005-chaya	systematic	Su5-Chaya.mp3	5	Chaya	Chayamanyasya	छायामन्यस्य कुर्वन्ति तिष्ठन्ति	17.50	280483	128	5	10	2307	toc_pratika
sub-su006-gacchan	systematic	Su6-Gacchan.mp3	6	Gacchan	Gacchan	गच्छन् पिपीलको याति	15.31	245375	128	6	11		unmatched
sub-su007-tatkarma	systematic	Su7-Tatkarma.mp3	7	Tatkarma	Tatkarma	तत्कर्म यन्न बन्धाय	18.21	291768	128	7	12		unmatched
sub-su008-sruyatam	systematic	Su8-Sruyatam.mp3	8	Sruyatam	Shruyatam	श्रूयतां धर्मसर्वस्वं श्रुत्वा	17.71	283827	128	8	13	6579	verse_prefix
sub-su009-videshe	systematic	Su9-Videshe.mp3	9	Videshe	Videsheshu	विदेशेषु धनं विद्या	18.10	290096	128	9	15		unmatched
sub-su010-mata	systematic	Su10-Mata.mp3	10	Mata	Mata	माता शत्रुः पिता	18.39	294694	128	10	16	4800	verse_prefix
sub-su011-rupa	systematic	Su11-Rupa.mp3	11	Rupa	Rupayauvanasampannaḥ	रूपयौवनसंपन्नाः विशालकुलसंभवाः ।	18.78	300963	128	11	17		unmatched
sub-su013-shakata	systematic	Su13-Shakata.mp3	13	Shakata	Shakatam	शकटं पञ्चहस्तेषु दशहस्तेषु	16.30	261257	128	13	21	6341	verse_prefix
sub-su014-upakaro	systematic	Su14-Upakaro.mp3	14	Upakaro	Upakaro'pi	उपकारोऽपि नीचानामपकाराय वर्तते	16.88	270452	128	14	25		unmatched
sub-su015-vrshchika	systematic	Su15-Vrshchika.mp3	15	Vrshchika	Vrshcikasya	वृश्चिकस्य विषं पुच्छं	18.29	293022	128	15	26		unmatched
sub-su016-acharyat	systematic	Su16-Acharyat.mp3	16	Acharyat	Acaryat	आचार्यात् पादमादत्ते पादं	18.10	290096	128	16	28		unmatched
sub-su017-avashya	systematic	Su17-Avashya.mp3	17	Avashya	Avashyamanubhoktavyam	अवश्यमनुभोक्तव्यं कृतं कर्म	17.06	273378	128	17	29		unmatched
sub-su018-satya	systematic	Su18-Satya.mp3	18	Satya	Satyam	सत्यं माता पिता	18.42	295112	128	18	30	6734	verse_prefix
sub-su019-dharmo	systematic	Su19-Dharmo.mp3	19	Dharmo	Dharmo	धर्मो जयति नाधर्मः	15.78	252898	128	19	32		unmatched
sub-su020-matrvat	systematic	Su20-Matrvat.mp3	20	Matrvat	Matrvat	मातृवत् परदारेषु परद्रव्येषु	17.35	277975	128	20	33		unmatched
sub-su021-makshi	systematic	Su21-Makshi.mp3	21	Makshi	Makshika	मक्षिका व्रणमिच्छन्ति धनमिच्छन्ति	18.55	297202	128	21	35	4651	verse_prefix
sub-su022-pustaka	systematic	Su22-Pustaka.mp3	22	Pustaka	Pustakastha	पुस्तकस्था तु या	18.65	298873	128	22	36	4156	file_pratika
sub-su023-adata	systematic	Su23-Adata.mp3	23	Adata	Adata	अदाता पुरुषस्तयागी धनं	18.68	299291	128	23	38		unmatched
sub-su024-kokila	systematic	Su24-Kokila.mp3	24	Kokila	Kokilanam	कोकिलानां स्वरो रूपं	18.55	297202	128	24	39	1919	toc_pratika
sub-su025-yasya	systematic	Su25-Yasya.mp3	25	Yasya	Yasya	यस्य नास्ति स्वयं	17.76	284663	128	25	40	5380	verse_prefix
sub-su026-adau	systematic	Su26-Adau.mp3	26	Adau	Adau	आदौ चित्ते ततः	18.18	291350	128	26	41	939	toc_pratika
sub-su027-ayush	systematic	Su27-Ayush.mp3	27	Ayush	Ayushаḥ	आयुषः खण्डमादाय रविरस्तमयं	18.70	299709	128	27	44		unmatched
sub-su027-ayusha	systematic	Su27-Ayusha.mp3	27	Ayusha	Ayushаḥ	आयुषः खण्डमादाय रविरस्तमयं	16.59	265855	128	27	44		unmatched
sub-su028-kah	systematic	Su28-Kah.mp3	28	Kah	Kaḥ	कः कालः कानि	18.34	293858	128	28	45	1502	verse_prefix
sub-su029-prana	systematic	Su29-Prana.mp3	29	Prana	Pranamekam	प्राणमेकं परित्यज्य मानमेवाभिरक्षतु	19.10	305979	128	29	46		unmatched
sub-su030-anitya	systematic	Su30-Anitya.mp3	30	Anitya	Anityani	अनित्यानि शरीराणि वैभवं	18.18	291350	128	30	48	292	toc_pratika
sub-su031-utpala	systematic	Su31-Utpala.mp3	31	Utpala	Utpalasyaravindasya	उत्पलस्यारविन्दस्य मत्स्यस्य कुमुदस्य	19.20	307651	128	31	49		unmatched
sub-su032-artha	systematic	Su32-Artha.mp3	32	Artha	Arthanamarjane	अर्थानामर्जने दुःखमर्जितानां च	20.01	320607	128	32	50	605	verse_prefix
sub-su032-arthanam	systematic	Su32-Arthanam.mp3	32	Arthanam	Arthanamarjane	अर्थानामर्जने दुःखमर्जितानां च	19.33	309740	128	32	50	605	verse_prefix
sub-su033-utsave	systematic	Su33-Utsave.mp3	33	Utsave	Utsave	उत्सवे व्यसने चैव	18.83	301799	128	33	52	1221	verse_prefix
sub-su034-prthiv	systematic	Su34-Prthiv.mp3	34	Prthiv	Prthivyam	पृथिव्यां त्रीणि रत्नानि	18.94	303471	128	34	53	4186	file_pratika
